time	V(n001)	V(n003)	I(R1)
6.290895618302261e-04	2.400000e+01	1.207457e+01	2.012429e+00
6.293171713726670e-04	2.400000e+01	1.206728e+01	2.011213e+00
6.295447809151080e-04	2.400000e+01	1.205883e+01	2.009806e+00
6.297723904575488e-04	2.400000e+01	1.204924e+01	2.008206e+00
6.299999999999897e-04	2.400000e+01	1.203849e+01	2.006415e+00
6.300000427462305e-04	2.400000e+01	1.203849e+01	2.006415e+00
6.300000854924815e-04	2.400000e+01	1.203849e+01	2.006414e+00
6.300001709849835e-04	2.400000e+01	1.203848e+01	2.006413e+00
6.300003419699874e-04	2.400000e+01	1.203847e+01	2.006412e+00
6.300006839399953e-04	2.400000e+01	1.203846e+01	2.006409e+00
6.300013678800110e-04	2.400000e+01	1.203842e+01	2.006404e+00
6.300100000000000e-04	2.400000e+01	1.203801e+01	2.006335e+00
6.302749160738321e-04	2.400000e+01	1.202655e+01	2.004426e+00
6.305398321476642e-04	2.400000e+01	1.201659e+01	2.002765e+00
6.308047482214964e-04	2.400000e+01	1.200812e+01	2.001353e+00
6.310696642953284e-04	2.400000e+01	1.200114e+01	2.000190e+00
6.313345803691606e-04	2.400000e+01	1.199565e+01	1.999275e+00
6.315994964429927e-04	2.400000e+01	1.199165e+01	1.998609e+00
6.318644125168248e-04	2.400000e+01	1.198915e+01	1.998192e+00
6.328409750168248e-04	2.400000e+01	1.198853e+01	1.998088e+00
6.338175375168248e-04	2.400000e+01	1.200230e+01	2.000383e+00
6.339878893001356e-04	2.400000e+01	1.200680e+01	2.001134e+00
6.341582410834463e-04	2.400000e+01	1.201188e+01	2.001979e+00
6.343285928667571e-04	2.400000e+01	1.201753e+01	2.002921e+00
6.344989446500677e-04	2.400000e+01	1.202375e+01	2.003958e+00
6.346692964333785e-04	2.400000e+01	1.203055e+01	2.005091e+00
6.348396482166892e-04	2.400000e+01	1.203792e+01	2.006320e+00
6.350100000000000e-04	2.400000e+01	1.204587e+01	2.007644e+00
6.350186866713996e-04	2.400000e+01	1.204628e+01	2.007714e+00
6.350191642454362e-04	2.400000e+01	1.204630e+01	2.007717e+00
6.350200000000000e-04	2.400000e+01	1.204634e+01	2.007724e+00
6.353551243732076e-04	2.400000e+01	1.206046e+01	2.010076e+00
6.356902487464152e-04	2.400000e+01	1.207231e+01	2.012052e+00
6.360253731196228e-04	2.400000e+01	1.208190e+01	2.013650e+00
6.363604974928304e-04	2.400000e+01	1.208923e+01	2.014872e+00
6.366956218660380e-04	2.400000e+01	1.209430e+01	2.015717e+00
6.370307462392457e-04	2.400000e+01	1.209711e+01	2.016185e+00
6.373658706124532e-04	2.400000e+01	1.209765e+01	2.016276e+00
6.383424331124532e-04	2.400000e+01	1.209047e+01	2.015078e+00
6.385792283821013e-04	2.400000e+01	1.208678e+01	2.014464e+00
6.388160236517493e-04	2.400000e+01	1.208185e+01	2.013642e+00
6.390528189213975e-04	2.400000e+01	1.207567e+01	2.012612e+00
6.392896141910455e-04	2.400000e+01	1.206825e+01	2.011375e+00
6.395264094606936e-04	2.400000e+01	1.205958e+01	2.009930e+00
6.397632047303416e-04	2.400000e+01	1.204966e+01	2.008277e+00
6.399999999999898e-04	2.400000e+01	1.203850e+01	2.006417e+00
6.400000427462305e-04	2.400000e+01	1.203850e+01	2.006417e+00
6.400000854924815e-04	2.400000e+01	1.203850e+01	2.006416e+00
6.400001709849835e-04	2.400000e+01	1.203849e+01	2.006416e+00
6.400003419699874e-04	2.400000e+01	1.203848e+01	2.006414e+00
6.400006839399953e-04	2.400000e+01	1.203847e+01	2.006412e+00
6.400013678800110e-04	2.400000e+01	1.203844e+01	2.006406e+00
6.400100000000000e-04	2.400000e+01	1.203802e+01	2.006337e+00
6.402749160738322e-04	2.400000e+01	1.202657e+01	2.004427e+00
6.405398321476642e-04	2.400000e+01	1.201660e+01	2.002766e+00
6.408047482214964e-04	2.400000e+01	1.200813e+01	2.001354e+00
6.410696642953285e-04	2.400000e+01	1.200114e+01	2.000191e+00
6.413345803691606e-04	2.400000e+01	1.199565e+01	1.999276e+00
6.415994964429927e-04	2.400000e+01	1.199166e+01	1.998609e+00
6.418644125168249e-04	2.400000e+01	1.198915e+01	1.998192e+00
6.428409750168249e-04	2.400000e+01	1.198852e+01	1.998087e+00
6.438175375168249e-04	2.400000e+01	1.200229e+01	2.000381e+00
6.439878893001356e-04	2.400000e+01	1.200679e+01	2.001131e+00
6.441582410834463e-04	2.400000e+01	1.201186e+01	2.001977e+00
6.443285928667571e-04	2.400000e+01	1.201751e+01	2.002919e+00
6.444989446500678e-04	2.400000e+01	1.202373e+01	2.003956e+00
6.446692964333786e-04	2.400000e+01	1.203053e+01	2.005088e+00
6.448396482166892e-04	2.400000e+01	1.203790e+01	2.006317e+00
6.450100000000000e-04	2.400000e+01	1.204585e+01	2.007641e+00
6.450186866713997e-04	2.400000e+01	1.204626e+01	2.007711e+00
6.450191642454362e-04	2.400000e+01	1.204629e+01	2.007715e+00
6.450200000000001e-04	2.400000e+01	1.204633e+01	2.007721e+00
6.453551243732076e-04	2.400000e+01	1.206044e+01	2.010073e+00
6.456902487464153e-04	2.400000e+01	1.207229e+01	2.012048e+00
6.460253731196228e-04	2.400000e+01	1.208188e+01	2.013646e+00
6.463604974928305e-04	2.400000e+01	1.208920e+01	2.014867e+00
6.466956218660380e-04	2.400000e+01	1.209427e+01	2.015712e+00
6.470307462392457e-04	2.400000e+01	1.209708e+01	2.016180e+00
6.473658706124532e-04	2.400000e+01	1.209762e+01	2.016271e+00
6.483424331124532e-04	2.400000e+01	1.209043e+01	2.015072e+00
6.485792283821014e-04	2.400000e+01	1.208675e+01	2.014458e+00
6.488160236517494e-04	2.400000e+01	1.208181e+01	2.013635e+00
6.490528189213975e-04	2.400000e+01	1.207563e+01	2.012606e+00
6.492896141910455e-04	2.400000e+01	1.206821e+01	2.011368e+00
6.495264094606936e-04	2.400000e+01	1.205954e+01	2.009923e+00
6.497632047303417e-04	2.400000e+01	1.204962e+01	2.008270e+00
6.499999999999898e-04	2.400000e+01	1.203846e+01	2.006410e+00
6.500000427462306e-04	2.400000e+01	1.203846e+01	2.006410e+00
6.500000854924816e-04	2.400000e+01	1.203846e+01	2.006409e+00
6.500001709849835e-04	2.400000e+01	1.203845e+01	2.006408e+00
6.500003419699875e-04	2.400000e+01	1.203844e+01	2.006407e+00
6.500006839399953e-04	2.400000e+01	1.203843e+01	2.006404e+00
6.500013678800111e-04	2.400000e+01	1.203839e+01	2.006399e+00
